GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000182199.6,11337.61987,-1.062877071,0.281809343,-3.771617573,0.000162193,0.011108984
ENSG00000101871.10,5816.16376,1.119477437,0.297253807,3.766065939,0.00016584,0.011292197
ENSG00000163386.16,3601.008947,1.098366468,0.29174017,3.764879097,0.00016663,0.011304858
ENSG00000167693.12,1464.197303,-1.150036885,0.307745655,-3.736971961,0.00018625,0.012590344
ENSG00000123416.11,138008.0016,-1.049778566,0.281375184,-3.730885407,0.000190808,0.012852086
ENSG00000122378.9,2808.475667,-1.13506811,0.304311681,-3.729952487,0.000191516,0.01285353
ENSG00000105246.5,289.0902954,1.527577647,0.410133209,3.72458902,0.000195634,0.013083002
ENSG00000173166.13,6535.051021,1.094277711,0.294519305,3.71547023,0.000202826,0.013515728
ENSG00000162645.8,6945.644036,1.230467034,0.331342741,3.713577762,0.00020435,0.013568961
ENSG00000239305.2,4199.610542,1.067177824,0.287688147,3.709495278,0.000207673,0.013740897
ENSG00000224818.1,2615.765714,1.110559308,0.299611555,3.706663814,0.000210007,0.01384644
ENSG00000169991.6,1733.422375,1.169899167,0.315707232,3.70564576,0.000210853,0.013853401
ENSG00000214558.3,1761.951651,1.125346596,0.304632168,3.694116099,0.000220653,0.014446598
ENSG00000212283.1,227.5782599,1.456637365,0.394515839,3.692215165,0.000222309,0.014504324
ENSG00000173559.8,22396.46899,1.09127859,0.295805399,3.689177394,0.00022498,0.014627626
ENSG00000197635.5,15161.07559,1.071307609,0.29079154,3.684108587,0.000229504,0.014870138
ENSG00000026950.12,168.3426812,1.521538572,0.413618418,3.6786045,0.000234514,0.015038586
ENSG00000115183.9,4142.778199,1.162037122,0.315795997,3.679708203,0.000233501,0.015038586
ENSG00000136160.10,1042.178883,1.210695405,0.329095127,3.678861536,0.000234277,0.015038586
ENSG00000124785.4,39.13474129,-1.450572972,0.394786845,-3.674319419,0.000238484,0.015241015
ENSG00000114933.11,5840.885437,1.062050487,0.28985638,3.664057654,0.000248251,0.015811216
ENSG00000154898.11,765.5380889,1.213819791,0.331928192,3.656874652,0.000255309,0.01620564
ENSG00000120937.8,304.4535103,-1.47154369,0.402764146,-3.653611435,0.000258577,0.016357647
