GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000185215.4,11788.53417,1.189928412,0.20668168,5.757299875,8.55E-09,3.02E-06
ENSG00000214485.5,655.5743477,-1.344532407,0.233684447,-5.753623847,8.74E-09,3.04E-06
ENSG00000271581.1,108.9004925,-1.909640256,0.332536094,-5.742655582,9.32E-09,3.18E-06
ENSG00000272789.1,42.55483791,2.194493078,0.3820287,5.744314701,9.23E-09,3.18E-06
ENSG00000011677.8,32.32188909,-2.816750093,0.49103895,-5.73630685,9.68E-09,3.27E-06
ENSG00000203963.7,10.93464523,-2.888500995,0.505607529,-5.712931136,1.11E-08,3.71E-06
ENSG00000170638.5,2547.692796,0.604795251,0.106127131,5.698780756,1.21E-08,3.99E-06
ENSG00000112309.6,55.29727623,-2.251897113,0.395483887,-5.694029989,1.24E-08,4.07E-06
ENSG00000042781.8,1443.698589,-2.837746053,0.500600365,-5.668685542,1.44E-08,4.59E-06
ENSG00000255443.1,6.614703324,-2.819509767,0.497147709,-5.671372342,1.42E-08,4.59E-06
ENSG00000259595.1,22.30505881,-2.172577088,0.383287231,-5.668274108,1.44E-08,4.59E-06
ENSG00000200312.1,26208.39307,-1.038735206,0.183495723,-5.660814263,1.51E-08,4.75E-06
ENSG00000232383.1,84.23434993,-1.607570462,0.284587879,-5.648766447,1.62E-08,5.00E-06
ENSG00000265168.1,9.745408281,-2.707978932,0.479405166,-5.648622761,1.62E-08,5.00E-06
ENSG00000105954.2,704.3369826,-2.869092968,0.508367236,-5.643740915,1.66E-08,5.10E-06
ENSG00000259279.1,31.1499693,-2.709245462,0.480971993,-5.632854934,1.77E-08,5.38E-06
ENSG00000267769.1,34.12130699,-1.545241,0.275563514,-5.607567483,2.05E-08,6.18E-06
ENSG00000160202.3,1416.087469,-2.850359224,0.508545041,-5.604929737,2.08E-08,6.21E-06
ENSG00000258424.1,21.65158754,-2.314468079,0.414964861,-5.577503781,2.44E-08,7.21E-06
ENSG00000260379.1,9.84188568,-2.245850969,0.402780453,-5.575868825,2.46E-08,7.22E-06
ENSG00000228462.1,53.74689756,-1.823735769,0.327916769,-5.56158129,2.67E-08,7.76E-06
ENSG00000205871.4,68.71499893,-1.544331688,0.278334588,-5.548472067,2.88E-08,8.30E-06
ENSG00000070601.5,348.1630117,-2.585070148,0.466304098,-5.543743147,2.96E-08,8.45E-06
ENSG00000199218.1,11861.55977,-1.443393211,0.261036171,-5.529475885,3.21E-08,9.09E-06
ENSG00000134376.10,513.7115216,-2.094414574,0.379636143,-5.516899838,3.45E-08,9.65E-06
ENSG00000258853.1,26.91874708,2.379612354,0.431400371,5.516018329,3.47E-08,9.65E-06
ENSG00000233476.2,2549.862367,-1.197448279,0.217587532,-5.503294552,3.73E-08,1.01E-05
ENSG00000264235.1,56.49992694,-1.470925225,0.267166477,-5.505650404,3.68E-08,1.01E-05
ENSG00000270017.1,7.346803562,-2.835895116,0.51525976,-5.503816395,3.72E-08,1.01E-05
ENSG00000185518.7,4284.444931,-1.39201059,0.25326612,-5.496236882,3.88E-08,1.04E-05
