GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000263488.1,47.96174724,-1.972141561,0.237389418,-8.307622029,9.76E-17,4.82E-14
ENSG00000234961.1,303.8923485,-3.989447632,0.480342036,-8.305430997,9.95E-17,4.84E-14
ENSG00000169598.11,1673.749404,0.898916628,0.108392447,8.293166649,1.10E-16,5.23E-14
ENSG00000207008.1,10202.72286,-1.947551214,0.234848972,-8.292781511,1.11E-16,5.23E-14
ENSG00000245205.3,265.9554472,-1.720703396,0.207681062,-8.285316817,1.18E-16,5.49E-14
ENSG00000234004.3,61.13318664,-1.769445028,0.213993334,-8.268692273,1.35E-16,6.22E-14
ENSG00000225405.3,77.64930919,-1.98201123,0.240971848,-8.225073795,1.95E-16,8.83E-14
ENSG00000253506.1,37.8543603,-2.0337888,0.248152367,-8.195725987,2.49E-16,1.11E-13
ENSG00000188747.4,1393.240937,1.696613884,0.207614887,8.171927877,3.03E-16,1.34E-13
ENSG00000188451.7,119.2412553,-1.484737196,0.182148965,-8.151224976,3.60E-16,1.57E-13
ENSG00000205702.6,155.1785836,2.437189212,0.299793046,8.129572198,4.31E-16,1.85E-13
ENSG00000223705.5,491.3171991,1.76461656,0.217292001,8.120945777,4.63E-16,1.96E-13
ENSG00000140983.9,16255.93116,1.08474876,0.134656442,8.055676665,7.90E-16,3.30E-13
ENSG00000179101.5,83.4308339,-1.630787837,0.202496718,-8.053403794,8.05E-16,3.32E-13
ENSG00000270557.1,50.98915939,2.258463067,0.280646359,8.047362784,8.46E-16,3.45E-13
ENSG00000223877.3,114.7765641,-1.4514352,0.182444101,-7.955506349,1.78E-15,7.18E-13
ENSG00000207001.1,58.03653769,-2.394487646,0.302358022,-7.919378595,2.39E-15,9.49E-13
ENSG00000213935.3,341.1146201,-1.110861753,0.14040685,-7.911734742,2.54E-15,9.97E-13
ENSG00000216938.3,65.85502846,-1.913652623,0.242742267,-7.883475108,3.18E-15,1.24E-12
ENSG00000224059.1,39.58320609,-2.231890943,0.28328408,-7.878631748,3.31E-15,1.27E-12
ENSG00000220548.3,115.9812337,-2.210184937,0.280653512,-7.875137291,3.40E-15,1.29E-12
ENSG00000233620.1,34.81836899,-3.393547307,0.431123188,-7.871409838,3.51E-15,1.31E-12
ENSG00000207191.1,61.2096686,-2.067419767,0.263058306,-7.85916931,3.87E-15,1.43E-12
ENSG00000162572.15,714.6568964,1.895806074,0.241381087,7.853995926,4.03E-15,1.48E-12
ENSG00000241226.2,1050.337335,-1.490619249,0.190000654,-7.845337468,4.32E-15,1.56E-12
ENSG00000223255.1,6399.07146,-1.11402713,0.142082761,-7.840691712,4.48E-15,1.60E-12
ENSG00000242295.1,41.31490477,-1.920229845,0.24547065,-7.822645364,5.17E-15,1.83E-12
ENSG00000148737.11,479.1212931,-1.399077368,0.17888367,-7.821157543,5.23E-15,1.83E-12
ENSG00000229124.2,385.999802,-2.914741933,0.373226627,-7.8095766,5.74E-15,1.99E-12
ENSG00000224971.1,103.3876047,-1.758970477,0.22564823,-7.795188459,6.43E-15,2.21E-12
ENSG00000260729.1,116.2357015,2.482157678,0.31986933,7.759911455,8.50E-15,2.89E-12
ENSG00000248625.1,67.70735389,-1.413037075,0.182222345,-7.754466535,8.87E-15,2.98E-12
ENSG00000185128.11,249.2548906,1.793482926,0.231404953,7.750408546,9.16E-15,3.05E-12
ENSG00000241941.2,26.40331094,-1.952681704,0.252773893,-7.725013361,1.12E-14,3.68E-12
ENSG00000269054.1,256.3343953,1.478879196,0.19173428,7.713170503,1.23E-14,4.00E-12
ENSG00000182685.3,779.4464408,1.846195471,0.239492605,7.708778617,1.27E-14,4.10E-12
ENSG00000269888.1,60.46540012,-3.683116617,0.477965101,-7.705827498,1.30E-14,4.15E-12
ENSG00000269352.1,304.6484159,1.679823039,0.218368469,7.692608029,1.44E-14,4.56E-12
ENSG00000196421.3,189.3393684,1.882182809,0.245239283,7.67488303,1.66E-14,5.19E-12
ENSG00000213235.3,822.8267287,-1.344205973,0.175655616,-7.652507817,1.97E-14,6.12E-12
ENSG00000060303.5,56.51836824,-2.190274233,0.287656617,-7.614197296,2.65E-14,8.08E-12
ENSG00000253793.1,107.0207238,-1.661302038,0.218183695,-7.614235504,2.65E-14,8.08E-12
ENSG00000258424.1,41.73720696,-3.307995818,0.434708904,-7.609680381,2.75E-14,8.29E-12
ENSG00000230383.1,554.6087364,-0.964498706,0.12692652,-7.598874602,2.99E-14,8.93E-12
ENSG00000272732.1,274.2223829,2.0871573,0.274899914,7.59242618,3.14E-14,9.30E-12
ENSG00000187860.6,1245.69734,0.897820525,0.119022255,7.543299599,4.58E-14,1.35E-11
ENSG00000269978.1,613.0317963,1.918269095,0.254350595,7.541830563,4.63E-14,1.35E-11
ENSG00000232383.1,37.95245301,-2.143733158,0.284427695,-7.537005702,4.81E-14,1.37E-11
ENSG00000268785.1,50.03571798,-2.110525297,0.280014688,-7.537194969,4.80E-14,1.37E-11
ENSG00000263969.1,1095.432711,-1.3435355,0.178341577,-7.53349567,4.94E-14,1.40E-11
ENSG00000234488.1,136.2018901,-1.494934871,0.198626941,-7.52634493,5.22E-14,1.47E-11
ENSG00000249568.1,69.60146181,-3.245210568,0.43205069,-7.511180148,5.86E-14,1.63E-11
ENSG00000241352.2,425.646222,-1.445291319,0.192705669,-7.499993784,6.38E-14,1.76E-11
ENSG00000076344.11,4353.779036,1.212155863,0.161924858,7.485915887,7.10E-14,1.95E-11
ENSG00000216867.2,29.5069293,-2.27835046,0.304887997,-7.472745663,7.85E-14,2.13E-11
ENSG00000116819.6,709.0295276,1.249947764,0.16741848,7.466008316,8.27E-14,2.23E-11
ENSG00000248565.2,100.5285628,-1.57428788,0.21105288,-7.459210588,8.70E-14,2.33E-11
ENSG00000225471.2,708.3342109,-1.464523669,0.196659117,-7.4470164,9.55E-14,2.53E-11
ENSG00000133460.15,5176.266261,1.058569391,0.142572215,7.424794455,1.13E-13,2.93E-11
ENSG00000177679.14,4884.324509,1.102151229,0.14845068,7.424359596,1.13E-13,2.93E-11
ENSG00000207986.1,206.4110781,-2.296337048,0.309230611,-7.425969371,1.12E-13,2.93E-11
ENSG00000108465.10,6084.57615,0.774445789,0.104384542,7.4191616,1.18E-13,3.03E-11
ENSG00000106133.13,678.0995097,1.685271237,0.227378721,7.411736827,1.25E-13,3.17E-11
ENSG00000207408.1,44.30645505,-2.457722423,0.331638645,-7.410844479,1.25E-13,3.17E-11
