locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
7:36363829-36493400,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.710986,1.03093,0.536056,0.206084,0.4708,0.999983,no
19:15532318-15560762,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.60886,4.00604,0.150634,0.170011,0.66725,0.999983,no
9:125703111-125867145,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,23.417,20.5026,-0.191747,-0.210144,0.46985,0.999983,no
12:91539024-91576900,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1326.08,1100.72,-0.268722,-0.234941,0.4752,0.999983,no
19:46190711-46207247,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.02829,2.43949,0.266314,0.106242,0.8513,0.999983,no
19:46850250-46896238,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.3326,16.8015,0.0408359,0.0512743,0.8738,0.999983,no
2:65283499-65357240,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,8.00804,8.35315,0.060871,0.0387732,0.8998,0.999983,no
2:39476406-39945103,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,14.5682,14.8184,0.0245672,0.0111215,0.94765,0.999983,no
19:36195428-36207940,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.0489035,0.178407,1.86716,0.879898,0.0177,0.550317,no
19:36395302-36399197,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,74.3315,49.8774,-0.575587,-0.784689,0.06725,0.985219,no
16:20944432-21191937,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,18.7563,16.4737,-0.187213,-0.23963,0.5334,0.999983,no
X:151307354-151619830,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.137756,0.0106602,-3.69181,-0.577531,0.001,0.0951102,no
17:41196311-41277500,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.77557,1.91403,0.108329,0.0761843,0.7034,0.999983,no
19:45882891-45982086,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,37.3322,44.3065,0.247096,0.296187,0.4512,0.999983,no
19:35810163-35838258,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,1.18395,0.916168,-0.369922,-0.19229,0.339,0.999983,no
3:50304989-50314977,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,29.3328,34.9697,0.253591,0.362781,0.35815,0.999983,no
X:21857753-21903542,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.28585,2.61229,-0.330953,-0.417222,0.2958,0.999983,no
X:49028272-49042845,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.23377,2.9404,0.396529,0.235275,0.48655,0.999983,no
3:46477135-46526724,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,8.00066,4.73971,-0.755322,-0.772681,0.0726,0.999983,no
8:28457985-28613116,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,9.18237,9.09847,-0.013242,-0.0167135,0.95455,0.999983,no
12:100867485-100958191,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.585215,0.755858,0.369148,0.280546,0.53585,0.999983,no
6:53132195-53213947,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,71.7327,78.0586,0.121927,0.163386,0.6655,0.999983,no
10:45869660-45948569,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.1857,12.8878,0.0808201,0.0944455,0.77905,0.999983,no
Y:21865750-21906825,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.53121,5.53449,0.00085621,0.00036233,0.9991,0.999983,no
12:54104902-54121529,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,59.0738,52.4893,-0.170495,-0.234722,0.5059,0.999983,no
14:93651295-93695561,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,13.9532,12.799,-0.124558,-0.147473,0.65515,0.999983,no
14:50885218-51135049,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,8.33897,9.23547,0.147316,0.0693376,0.74015,0.999983,no
2:31456879-31492313,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.96841,3.12285,-0.345697,-0.455567,0.27295,0.999983,no
19:40476911-40487348,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,37.3031,33.8083,-0.141919,-0.230936,0.5979,0.999983,no
4:6576901-6625089,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,16.8523,15.4441,-0.125891,-0.202851,0.63365,0.999983,no
3:170136652-170578169,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.252032,0.170376,-0.564889,-0.187564,0.72125,0.999983,no
3:170136652-170578169,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.4003,15.7925,0.348868,0.440305,0.30445,0.999983,no
17:42396992-42402238,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,22.9641,22.8975,-0.00419157,-0.00643201,0.9869,0.999983,no
16:29817426-29859355,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,52.6806,63.9408,0.279463,0.314513,0.3577,0.999983,no
7:151038784-151110440,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,28.3033,27.1164,-0.0618029,-0.0637482,0.85915,0.999983,no
6:83777384-83908651,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,11.9888,13.8454,0.207719,0.120193,0.61015,0.999983,no
6:83777384-83908651,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.44627,2.65707,0.119253,0.0573182,0.89695,0.999983,no
2:201717731-201729422,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,36.6076,56.8538,0.635111,0.826381,0.0436,0.821259,no
12:106751435-107283090,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.89146,2.12071,-0.447246,-0.323732,0.4158,0.999983,no
14:77253587-77292589,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.14399,5.30832,0.0453676,0.050016,0.8672,0.999983,no
5:141323149-141369856,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,33.9345,31.6452,-0.100768,-0.112132,0.72085,0.999983,no
