locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
X:73952683-74145282,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.41959,1.22733,-0.209946,-0.322471,0.3837,0.937279,no
14:59895739-60043549,AMD Peripheral Retina,Normal Peripheral Retina,OK,32.8281,33.9604,0.0489255,0.0872718,0.8239,0.999533,no
11:11984652-12031316,AMD Peripheral Retina,Normal Peripheral Retina,OK,600.028,448.348,-0.420411,-0.641355,0.07775,0.543217,no
7:143883175-144077725,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.79224,0.634765,-0.319716,-0.199141,0.5832,0.988794,no
7:26191859-26226745,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.449025,0.238555,-0.912472,-0.55263,0.08675,0.575046,no
6:13786788-13814800,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.1652,36.2023,0.644121,0.872114,0.00985,0.184459,no
12:50569570-50677329,AMD Peripheral Retina,Normal Peripheral Retina,OK,19.8695,21.7216,0.128576,0.255954,0.49705,0.97568,no
12:51441744-51454207,AMD Peripheral Retina,Normal Peripheral Retina,OK,20.0677,26.8729,0.421278,0.710618,0.0362,0.378047,no
12:51745030-51902980,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.1957,12.066,-0.129121,-0.170282,0.54555,0.986824,no
9:133884468-133969860,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.298477,0.0961287,-1.63458,-1.03087,0.0038,0.104597,no
1:71318035-71513491,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.625119,0.702568,0.168507,0.215047,0.5597,0.987708,no
4:122052562-122148621,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.680863,0.342154,-0.992719,-0.692578,0.0776,0.542953,no
5:179660142-179719099,AMD Peripheral Retina,Normal Peripheral Retina,OK,17.6159,22.4086,0.347177,0.592942,0.1278,0.686223,no
5:177664618-178017556,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.47315,6.57428,-0.184884,-0.296707,0.46155,0.965395,no
16:75262927-75301951,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.11537,8.76497,0.111091,0.190227,0.6144,0.993963,no
11:6232564-6255941,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.23807,8.09698,0.376283,0.529261,0.1117,0.644392,no
16:56965959-56977798,AMD Peripheral Retina,Normal Peripheral Retina,OK,32.7698,35.0482,0.0969702,0.192142,0.60865,0.993264,no
19:19010322-19057640,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.49877,8.49394,-0.00082014,-0.000545652,0.99925,0.999837,no
15:40978921-41024354,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.304113,0.320854,0.0773073,0.0193317,0.88415,0.999533,no
3:121150277-121264853,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0477023,0.0591078,0.30929,0,1,1,no
3:138372859-138553780,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.9069,11.1813,0.0358385,0.0505868,0.8745,0.999533,no
16:88709690-88717560,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.78344,2.9121,-0.989869,-1.16356,0.002,0.0706423,no
5:175333941-175461683,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.05614,5.49072,0.436888,0.41584,0.3409,0.920046,no
6:138723721-139018425,AMD Peripheral Retina,Normal Peripheral Retina,OK,16.4753,13.3848,-0.299707,-0.304951,0.4571,0.963628,no
12:123636866-123756881,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.6751,27.1389,0.324326,0.344007,0.1801,0.777157,no
12:19282647-19529334,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.8394,26.8658,0.172419,0.26392,0.49815,0.97568,no
16:31142753-31147083,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0541684,0.0516156,-0.0696444,0,1,1,no
1:115312099-115323306,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.67617,11.0426,0.190568,0.178644,0.5387,0.985245,no
10:99116114-99185831,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.06434,3.27665,0.0966455,0.128074,0.69305,0.999533,no
4:159690289-159959912,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.3919,9.64371,0.038172,0.0558891,0.8592,0.999533,no
4:166248774-166264312,AMD Peripheral Retina,Normal Peripheral Retina,OK,27.3595,27.1498,-0.0110976,-0.0231071,0.95305,0.999533,no
11:43333512-43516483,AMD Peripheral Retina,Normal Peripheral Retina,OK,15.9869,17.6752,0.144839,0.137486,0.6032,0.991908,no
11:44281993-44331716,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.117176,0.0016963,-6.11015,-2.19139,0.229,0.836929,no
5:132496129-132948255,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.39557,3.14339,-0.111332,-0.0694228,0.7885,0.999533,no
14:89591214-90421121,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.6915,15.2347,-0.295016,-0.192516,0.38105,0.937279,no
6:110501343-110679475,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.39448,1.18299,-0.237296,-0.0925403,0.8991,0.999533,no
1:19630458-19638640,AMD Peripheral Retina,Normal Peripheral Retina,OK,22.693,21.5498,-0.0745706,-0.147083,0.71035,0.999533,no
1:19536994-19586622,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.75633,6.70444,-0.0111219,-0.00669204,0.9865,0.999533,no
20:36120873-36156333,AMD Peripheral Retina,Normal Peripheral Retina,OK,17.2889,16.7064,-0.0494446,-0.0427487,0.92655,0.999533,no
19:17326154-17330638,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.28002,9.46565,0.0285733,0.0417938,0.91645,0.999533,no
3:182895830-183146566,AMD Peripheral Retina,Normal Peripheral Retina,OK,30.5411,38.4324,0.33157,0.398263,0.2136,0.822869,no
12:2904118-3050306,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.576656,0.315984,-0.86786,-0.138661,0.40425,0.948265,no
18:21269406-21535030,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.94342,2.01102,0.0493335,0.0348006,0.89765,0.999533,no
14:57670517-57756797,AMD Peripheral Retina,Normal Peripheral Retina,OK,24.6896,25.9615,0.0724696,0.0783777,0.8051,0.999533,no
4:25378834-25420120,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.39075,6.51437,0.273141,0.357096,0.2541,0.86639,no
11:2465913-2882798,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.588432,0.579366,-0.0224019,-0.00967043,0.97695,0.999533,no
